t,PK,AK,LSD,delta_t,auc_contrib
0,0.0,0.0,0,2,0
2,0.35,0.35,25,3,75
5,0.8,0.8,72,3,216
8,1.0,1.0,100,4,400
12,1.0,1.0,100,0,0
