t,PK,AK,LSD,delta_t,auc_contrib
0,0.0,0.0,0,2,0
2,0.45,0.45,35,3,105
5,0.8,0.8,70,3,210
8,1.0,0.8,100,4,400
12,1.0,1.0,100,0,0
